Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
Total - Age groups of the population - 100% data,112760,144935,104320,696990,210275,174300,116705,569355,596640,189185,171450,142930,206960,128155,179830,500565,477940,129360,77340,1017450,1451025,147680,81195,202430,107520,599840,1030895,152885,32395,2794355,587165,307280,422860,1173335
  0 to 14 years,15790,24860,16620,125505,34145,27485,18925,91240,111035,23840,24810,24865,29395,19715,25555,83160,70600,17620,14635,166920,240130,21250,13750,30880,16940,95230,173965,23725,5080,384295,101370,53360,68810,191210
    0 to 4 years,4710,7630,5070,38585,10595,8940,5925,29100,29670,7380,7625,8180,9010,6260,7890,25225,21830,5240,4480,48790,71075,6475,4050,9005,5450,29590,54320,7420,1635,123550,31580,16705,20380,52095
    5 to 9 years,5625,8465,5670,42585,11735,9460,6630,30695,37845,8050,8440,8365,9915,6510,8635,28490,23865,6075,5075,57410,80690,7405,4830,10790,5895,32225,59375,8060,1750,129040,34215,18240,23215,65340
    10 to 14 years,5455,8765,5870,44330,11815,9090,6365,31450,43520,8410,8750,8330,10470,6950,9025,29450,24910,6300,5075,60720,88365,7370,4870,11085,5590,33410,60270,8250,1695,131705,35575,18415,25215,73780
  15 to 64 years,67075,92120,63100,460415,129170,101075,70220,373820,390115,109725,102920,84955,131120,76985,107585,326780,295990,78945,48120,678375,998265,89150,51760,128295,65485,379840,644090,96685,19220,1933075,394500,200410,272430,782935
    15 to 19 years,5205,8335,5810,42670,10645,8245,6205,31795,41775,8380,8135,7955,10860,6530,8795,28580,25275,6150,4660,60385,93110,7160,4485,10545,5235,32070,57280,7870,1485,134810,35700,18395,25845,75840
    20 to 24 years,5615,8340,5525,41830,9535,7790,5655,36400,34050,8105,7965,7550,13155,6600,7795,34670,27230,6245,4315,70785,113815,8680,4725,11950,5375,31585,61185,9450,1665,185650,42630,19575,27560,72375
    25 to 29 years,6000,9100,5485,42935,11580,8735,6095,40525,29450,9040,9155,8215,13740,7415,8655,37945,28700,6735,4710,72830,110090,8855,4990,12375,6480,34515,66755,10330,1715,243955,45960,19880,27630,69355
    30 to 34 years,6120,9350,5630,47055,12635,9680,6765,41330,33595,9810,9760,8220,13420,7515,9825,35130,28665,7280,4815,70190,101730,8825,5025,12040,6875,38275,66185,9605,1785,246780,43680,20950,25360,69985
    35 to 39 years,6025,9520,5970,49290,12235,9765,6660,38940,40335,9640,9515,8135,12605,7315,9675,33585,27415,7110,4460,69520,100230,8740,4825,12055,6500,38745,64915,8990,1740,213810,41465,20580,24445,74605
    40 to 44 years,5885,9100,5675,46420,11645,8945,6155,35025,44490,9020,9155,7610,11805,6930,9210,30795,26695,6765,4375,65890,95300,7595,4590,11975,5685,35745,60010,8395,1715,185820,38010,18900,24990,77050
    45 to 49 years,5875,8915,5805,45600,12240,8525,6160,34155,46775,9580,9100,7490,11520,6925,10315,29385,27905,7215,4190,66240,95430,7690,4765,12375,5745,36395,58180,8635,1720,175875,37015,19305,26940,85870
    50 to 54 years,6955,9045,6405,46805,13515,9965,7275,36665,44580,11475,10345,8105,12860,7500,11790,30105,30695,8085,4750,67265,99795,8470,5265,12945,6180,38840,61325,9570,1950,184060,37140,20270,28490,90695
    55 to 59 years,9130,10455,8130,52470,17690,13790,9385,40930,40950,16450,14445,10535,15810,9525,15545,34105,36760,11475,5760,71465,101845,10980,6395,16165,8455,47655,73995,11525,2625,191380,38645,22585,31305,89765
    60 to 64 years,10255,9970,8675,45340,17450,15635,9865,38045,34115,18225,15350,11135,15345,10735,15980,32485,36645,11895,6070,63795,86920,12160,6690,15870,8960,46025,74260,12315,2815,170935,34255,19965,29870,77395
  65 years and over,29900,27955,24600,111080,46960,45735,27565,104290,95490,55620,43720,33105,46450,31455,46690,90625,111345,32800,14590,172150,212630,37275,15680,43255,25100,124770,212845,32475,8095,476985,91295,53515,81620,199185
    65 to 69 years,9170,8800,7730,35250,14960,14610,9135,31630,26945,17295,13535,10255,13950,9995,14800,27535,33245,10350,4975,52355,68710,11250,5265,13530,7935,39015,65625,10575,2580,141550,28280,16380,25405,62775
    70 to 74 years,8015,7350,6505,29530,12660,12460,7380,26700,24390,15175,11895,8715,12265,8275,12900,23605,29210,8700,4050,45375,56710,9860,4150,11335,6715,33020,56355,8780,2215,118910,23690,14015,21645,53380
    75 to 79 years,5365,4940,4445,19575,8635,8135,5055,18290,18210,10315,7865,5895,8470,5790,8435,16300,20275,5920,2345,30940,38230,6810,2755,7815,4480,22815,38310,5475,1370,81880,16380,9540,14565,34160
    80 to 84 years,3730,3270,2965,13085,5515,5275,3045,12990,12710,6485,5235,4140,5800,3645,5335,11055,13770,4115,1665,21080,25450,4440,1845,5380,2915,14910,25820,3735,955,62790,11250,6600,9785,24840
    85 years and over,3620,3595,2945,13645,5190,5255,2950,14685,13230,6345,5190,4105,5965,3740,5220,12130,14850,3710,1555,22395,23535,4920,1655,5200,3045,15015,26740,3910,975,71855,11695,6985,10215,24020
      85 to 89 years,2285,2095,1780,8290,3220,3260,1855,8750,8175,3945,3225,2480,3715,2335,3215,7250,8765,2395,995,13385,14940,2890,1075,3295,1850,9155,16260,2405,630,42430,7025,4065,6055,15015
      90 to 94 years,1080,1135,890,4140,1460,1570,845,4435,3905,1835,1465,1260,1725,1095,1495,3620,4645,1050,455,6775,6630,1485,450,1450,900,4560,7925,1170,275,22155,3540,2350,3160,6920
      95 to 99 years,230,320,235,1065,445,355,230,1340,1035,515,440,325,450,285,445,1135,1290,240,90,1960,1710,475,105,390,255,1160,2260,305,60,6400,1020,525,895,1830
      100 years and over,25,40,35,155,70,70,25,155,115,50,65,40,80,25,70,130,145,30,15,275,255,65,20,65,40,140,295,30,5,875,115,55,110,255
Total - Distribution (%) of the population by broad age groups - 100% data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  0 to 14 years,14,17.2,15.9,18,16.2,15.8,16.2,16,18.6,12.6,14.5,17.4,14.2,15.4,14.2,16.6,14.8,13.6,18.9,16.4,16.5,14.4,16.9,15.3,15.8,15.9,16.9,15.5,15.7,13.8,17.3,17.4,16.3,16.3
  15 to 64 years,59.5,63.6,60.5,66.1,61.4,58,60.2,65.7,65.4,58,60,59.4,63.4,60.1,59.8,65.3,61.9,61,62.2,66.7,68.8,60.4,63.7,63.4,60.9,63.3,62.5,63.2,59.3,69.2,67.2,65.2,64.4,66.7
  65 years and over,26.5,19.3,23.6,15.9,22.3,26.2,23.6,18.3,16,29.4,25.5,23.2,22.4,24.5,26,18.1,23.3,25.4,18.9,16.9,14.7,25.2,19.3,21.4,23.3,20.8,20.6,21.2,25,17.1,15.5,17.4,19.3,17
    85 years and over,3.2,2.5,2.8,2,2.5,3,2.5,2.6,2.2,3.4,3,2.9,2.9,2.9,2.9,2.4,3.1,2.9,2,2.2,1.6,3.3,2,2.6,2.8,2.5,2.6,2.6,3,2.6,2,2.3,2.4,2
Average age of the population,46.4,41.7,44.3,40.2,44,45.6,44.3,41.5,40.2,48.3,45.9,43.3,43.9,44.7,46.4,40.9,44.4,46.3,41.1,40.7,39.4,45.2,42.2,43.6,44.2,43.2,42.3,43.2,45.2,41.5,39.4,40.8,42,41.4
Median age of the population,50,41.6,46.4,40,46,48.8,46.4,40.8,40.8,53.2,48.8,44.4,44.4,46.4,50,39.6,46,49.6,41.2,40,38.4,46.8,43.2,44.8,45.6,44,42,44,48,39.6,38,40.4,42.4,42
Total - Occupied private dwellings by structural type of dwelling - 100% data,51245,56255,44180,243045,87030,73425,46315,222810,208605,79750,72475,58105,87875,55205,76525,204155,195915,57015,31140,407250,450745,61745,34820,87585,45525,231395,419400,66080,14585,1160890,222425,115135,165785,391035
  Single-detached house,35220,37045,33580,160785,61795,58555,38600,125130,118580,65985,54625,42485,53905,41905,57675,110140,129965,40075,25505,169760,205805,44870,24085,57360,35310,171685,272915,47520,11535,270495,118890,73675,115475,242135
  Semi-detached house,3185,2905,1445,12915,5575,1510,1335,6765,11060,1525,2125,2910,4930,1530,3935,6955,10205,2690,840,21680,53255,945,2050,3535,2045,7830,15380,2390,195,71955,13235,5085,7490,23185
  Row house,1685,4755,1540,27300,2885,3350,1610,27455,37335,2535,2795,2545,4900,2525,3170,24090,15410,2385,655,87045,59330,3220,990,3425,2105,15195,34125,1765,180,62910,25630,11570,9230,49475
  Apartment or flat in a duplex,1655,1785,735,8945,3995,970,930,7380,2495,1395,1275,1085,2485,915,770,4665,6660,2330,595,7595,20190,2815,1685,4760,615,8825,8355,2520,410,47810,6275,4335,4665,15815
  Apartment in a building that has fewer than five storeys,6365,5025,5090,15440,10600,7230,3095,19045,14040,6050,8110,7095,11200,4030,8740,19935,21720,6635,2410,43020,26075,7000,4690,12860,4895,19250,42690,8520,1870,162245,29150,12620,13905,12230
  Apartment in a building that has five or more storeys,2640,4550,1540,17285,1260,910,435,36465,24855,1590,2655,860,9885,4000,1130,37565,10770,2280,195,76890,85670,2595,625,4790,65,7020,42425,2580,155,542630,28685,7195,14105,47690
  Other single-attached house,110,100,80,265,295,240,100,415,195,195,265,150,175,185,310,225,625,225,125,465,130,110,120,180,120,610,780,140,65,2770,300,250,155,360
  Movable dwelling,380,75,170,120,625,650,205,150,30,475,635,980,395,120,795,585,555,385,810,795,295,190,585,675,380,975,2740,640,165,80,260,405,745,140
Total - Private households by household size - 100% data,51245,56255,44180,243050,87030,73420,46315,222805,208600,79750,72475,58105,87875,55205,76525,204155,195910,57010,31135,407255,450745,61740,34820,87585,45525,231395,419405,66075,14580,1160895,222430,115135,165785,391035
  1 person,17155,14420,13410,47095,23615,20870,11605,62110,40865,21020,20170,16290,25985,16630,20920,60210,55090,17540,9185,116370,72615,17430,10940,26825,13260,54865,118535,21490,5005,385765,54845,26875,46500,64080
  2 persons,19720,19270,16835,72770,34230,29810,18085,71460,60995,34085,29390,22510,33810,21370,31545,69540,71480,23090,11160,135365,109950,23795,12890,32795,17895,83600,153085,23755,5500,353420,73200,38985,55205,108890
  3 persons,6790,9060,5895,44830,12225,9210,6510,35330,37295,10820,10045,7335,12350,7315,10570,30085,29445,7445,4220,61740,85800,8810,4735,12560,6280,36990,58955,9100,1860,178230,36150,18445,24630,77720
  4 persons,5080,8130,4855,46905,10740,8210,5975,32690,44665,8725,7895,6785,10390,6345,8765,27305,24930,5940,3610,59175,95855,7370,3975,10415,5195,34880,53575,7415,1385,147360,35780,18680,23115,85405
  5 or more persons,2500,5370,3190,31445,6215,5320,4130,21220,24780,5105,4980,5190,5340,3540,4720,17020,14970,2995,2965,34600,86520,4340,2280,4990,2900,21065,35245,4320,825,96120,22455,12145,16345,54940
Number of persons in private households,110970,142680,102095,691360,205955,171260,114790,560915,589770,184770,168385,140370,201355,126045,176650,493455,469450,126210,76100,1000935,1439075,144840,79765,198950,104715,589660,1015180,150355,31760,2761290,579380,303415,415720,1165615
Average household size,2.2,2.5,2.3,2.8,2.4,2.3,2.5,2.5,2.8,2.3,2.3,2.4,2.3,2.3,2.3,2.4,2.4,2.2,2.4,2.5,3.2,2.4,2.3,2.3,2.3,2.6,2.4,2.3,2.2,2.4,2.6,2.6,2.5,3
Total - Marital status for the total population aged 15 years and over - 100% data,96970,120075,87695,571490,176130,146815,97780,478110,485600,165340,146640,118065,177570,108440,154270,417405,407340,111745,62705,850525,1210890,126435,67440,171550,90585,504610,856935,129160,27315,2410060,485795,253925,354050,982120
  Married or living common-law,54525,68695,50760,332030,107590,92535,60735,260655,299510,102565,87275,73040,100335,64375,95455,229420,231435,65335,35285,474220,688415,72940,38655,98045,54520,300810,502160,70015,15925,1213415,278045,151795,195935,596380
    Married,43260,55780,41950,283965,82040,76540,50400,216490,269300,82750,69175,61865,79195,53535,77060,188820,192070,51260,25920,390560,640185,58140,28340,74915,43720,242905,416005,53860,12130,1020985,234235,125495,169110,552380
    Living common-law,11265,12915,8810,48065,25555,16000,10340,44165,30215,19815,18095,11180,21140,10840,18390,40600,39365,14075,9365,83660,48230,14795,10315,23125,10795,57900,86155,16155,3795,192430,43810,26295,26820,44005
      Living common law - Never married,7545,8780,5560,32635,17445,9990,6245,32210,19840,11830,11350,7180,14510,6950,11225,29320,25355,9055,7225,63475,32770,10115,7490,16215,7240,37980,57865,11935,2540,155085,31860,18315,17615,29125
      Living common law - Separated,755,935,690,2955,1480,1065,730,2400,1660,1400,1285,765,1210,780,1325,2290,2765,1100,455,3270,2640,860,725,1535,695,3790,5460,840,285,5745,2390,1475,1540,2250
      Living common law - Divorced,2505,2795,2230,11150,5690,4315,2925,8540,7885,5600,4785,2780,4755,2660,5075,8025,9750,3400,1445,15380,11700,3300,1775,4635,2535,14160,20120,2890,805,29020,8675,5840,6770,11515
      Living common law - Widowed,460,400,340,1330,950,630,435,1015,840,985,670,450,670,450,770,965,1490,515,235,1535,1115,525,325,745,335,1970,2710,490,165,2585,880,665,900,1120
  Not married and not living common-law,42445,51385,36940,239460,68540,54275,37050,217460,186090,62780,59365,45020,77235,44065,58820,187985,175900,46410,27420,376305,522475,53495,28780,73505,36065,203800,354775,59140,11390,1196650,207750,102125,158120,385740
    Not married and not living common law - Never married,24350,32310,21935,162615,41175,31325,21935,145095,127385,34635,33865,27565,48860,26280,33260,126270,107285,26665,18225,265260,386685,32335,18295,45445,21250,125655,226030,38275,6375,853585,145320,68370,104205,271525
    Not married and not living common law - Separated,3315,4155,2795,16520,5335,3960,2895,14455,11390,4975,4625,3255,5290,3425,4825,13105,13650,4015,1780,22900,27155,3960,2385,5905,2945,15975,25475,4280,1045,67320,13570,6670,9895,20810
    Not married and not living common law - Divorced,6875,7515,5885,31650,10535,8795,5640,29890,23705,10640,10060,6355,11535,6800,10235,25800,26955,7510,3345,48880,53230,8395,3520,10160,5615,32050,51215,7875,1680,154535,25935,13875,22630,47040
    Not married and not living common law - Widowed,7905,7405,6330,28675,11500,10195,6575,28020,23615,12535,10815,7845,11555,7560,10500,22815,28015,8220,4070,39265,55410,8800,4585,11995,6260,30120,52055,8710,2290,121215,22925,13215,21385,46360
Total - Census families in private households by family size - 100% data,32860,41415,30080,199375,62150,51840,34615,157125,169670,58290,51025,41020,58510,37380,54565,136115,137430,38100,21830,275395,397915,42590,23265,58525,31320,175245,290815,42780,9275,733220,161260,86735,116695,339105
  2 persons,20085,20940,17185,85500,35450,30870,19375,76155,67705,36410,30840,22875,34050,21665,32730,69250,75440,23720,12060,135110,151075,24890,13235,33510,18230,92070,155685,24295,5575,362160,76600,42035,57775,134495
  3 persons,6370,9005,5720,47295,11780,8970,6450,34985,38965,10450,9610,7170,11340,6965,10180,28355,28430,6965,4335,57890,98845,8135,4600,11855,5950,36865,56705,8660,1755,174070,34985,18235,24255,85680
  4 persons,4560,7795,4545,46850,10170,7755,5645,31430,45695,8100,7225,6525,9445,5920,8180,25695,23270,5415,3360,56635,104925,6750,3740,9515,4845,33125,50805,6775,1290,141630,34120,18080,22320,89030
  5 or more persons,1850,3685,2620,19730,4760,4245,3145,14550,17295,3335,3350,4455,3675,2830,3480,12810,10295,1995,2065,25770,43070,2815,1685,3645,2295,13180,27615,3055,655,55360,15555,8390,12340,29895
Average size of census families,2.7,2.9,2.8,3,2.8,2.8,2.8,2.9,3.1,2.7,2.7,2.9,2.7,2.8,2.7,2.9,2.8,2.6,2.9,2.9,3.1,2.7,2.8,2.7,2.8,2.8,2.9,2.8,2.7,2.9,3,3,3,3.1
Average number of children in census families with children,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.7,1.7,2,1.7,1.8,1.7,1.8,1.7,1.7,1.9,1.8,1.8,1.7,1.8,1.7,1.8,1.8,1.9,1.8,1.8,1.7,1.8,1.8,1.9,1.8
Total number of census families in private households - 100% data,32860,41420,30075,199370,62155,51835,34610,157120,169665,58295,51030,41025,58510,37375,54565,136115,137430,38100,21825,275395,397920,42590,23260,58525,31315,175245,290810,42780,9275,733220,161260,86735,116690,339100
  Total couple families,26810,33680,24880,162750,52885,45390,29855,126990,146545,50405,42900,35905,49170,31585,46945,112120,113105,31905,17285,231060,330685,35715,19000,48110,26780,147530,246265,34370,7805,580590,135685,74380,95200,289760
    Married couples,21175,27225,20480,138720,40120,37390,24685,104915,131450,40500,33860,30315,38595,26170,37755,91830,93455,24865,12605,189250,306610,28315,13840,36550,21380,118590,203200,26290,5915,484430,113790,61230,81790,267780
      With children,8300,14445,8880,87360,17500,15385,11355,60470,86255,15340,13575,13915,17340,11245,15450,50045,45135,9365,5450,108720,207115,12370,5785,16210,9110,60040,101045,11865,2305,288370,66030,34615,44725,175390
      Without children,12875,12780,11600,51365,22620,22005,13330,44440,45195,25160,20280,16395,21260,14925,22305,41780,48320,15500,7150,80535,99495,15945,8060,20345,12265,58555,102150,14425,3605,196060,47760,26615,37065,92385
    Common-law couples,5635,6455,4405,24025,12765,8000,5170,22070,15100,9905,9045,5585,10570,5415,9195,20295,19655,7035,4685,41805,24075,7400,5155,11565,5395,28940,43065,8075,1895,96160,21895,13145,13405,21985
      With children,2260,2910,1920,10910,5510,3110,2055,8305,5890,3715,3635,2140,3705,2145,3555,6985,7540,2735,2375,12885,10965,2745,2440,4805,2245,12050,16120,3305,820,24805,8010,5080,5205,9020
      Without children,3370,3545,2490,13115,7255,4885,3110,13770,9205,6190,5415,3450,6865,3270,5635,13305,12115,4300,2305,28920,13110,4650,2715,6755,3155,16890,26945,4775,1070,71350,13880,8065,8205,12965
  Total one-parent families,6050,7745,5190,36625,9265,6450,4760,30135,23120,7885,8125,5120,9340,5790,7620,23995,24325,6195,4545,44335,67235,6875,4265,10415,4540,27710,44545,8410,1465,152635,25575,12355,21495,49340
    in which the parent is a woman+,4645,5985,3995,28895,6820,4815,3535,23985,18295,5880,6145,3865,7150,4355,5645,19115,19040,4575,3205,35065,54760,5360,3085,7840,3315,21095,34655,6300,1070,127560,20165,9525,16985,39390
    in which the parent is a man+,1410,1760,1195,7730,2445,1635,1220,6150,4825,2010,1975,1255,2190,1440,1980,4875,5280,1625,1335,9270,12475,1515,1175,2580,1220,6620,9895,2115,400,25075,5410,2830,4510,9950
Total - Persons in private households - 100% data,110970,142680,102095,691355,205955,171260,114785,560915,589770,184770,168390,140375,201355,126045,176650,493460,469455,126210,76100,1000935,1439080,144840,79765,198950,104715,589660,1015180,150360,31760,2761285,579380,303415,415720,1165615
  Total - Persons in census families,87460,119955,84210,605060,172580,143480,98330,461625,525955,154305,137545,118785,159450,103150,147320,396135,384850,100700,62305,809955,1247160,116220,64510,160095,86170,497445,838530,118375,25195,2108975,479495,256980,345480,1039140
    Married spouses or common-law partners,53615,67350,49765,325495,105775,90775,59710,253975,293090,100810,85800,71800,98335,63175,93895,224245,226210,63810,34565,462120,661365,71425,37995,96220,53555,295065,492530,68740,15615,1161175,271370,148760,190395,579525
    Parents in one-parent families,6050,7740,5195,36625,9270,6450,4760,30135,23120,7890,8125,5120,9340,5795,7620,23990,24320,6195,4540,44335,67235,6875,4265,10415,4545,27715,44550,8415,1465,152630,25575,12360,21490,49340
    Children,27790,44860,29255,242940,57540,46255,33865,177510,209745,45605,43615,41865,51775,34185,45810,147895,134320,30700,23195,303505,518560,37925,22250,53455,28075,174670,301450,41220,8115,795165,182550,95865,133590,410280
      In a two-parent family,18670,32645,21035,184530,43100,36345,26560,130110,173765,33960,31270,33795,37915,25155,34325,109870,97000,21390,15620,231930,410490,27525,15300,37500,21170,131960,231550,27800,5865,560340,142175,76720,99140,334415
      In a one-parent family,9120,12210,8215,58410,14440,9910,7305,47405,35975,11645,12350,8070,13865,9025,11485,38025,37315,9310,7575,71570,108070,10395,6950,15960,6905,42710,69900,13425,2240,234820,40380,19145,34450,75860
  Total - Persons not in census families in private households - 100% data,23515,22730,17880,86295,33375,27780,16460,99290,63815,30460,30840,21585,41905,22895,29330,97325,84600,25510,13795,190980,191915,28620,15255,38855,18540,92215,176655,31980,6565,652310,99885,46440,70245,126475
    Living alone,17155,14420,13410,47095,23615,20870,11605,62110,40865,21020,20170,16290,25985,16630,20920,60210,55090,17540,9185,116370,72615,17430,10940,26825,13260,54865,118535,21490,5005,385765,54845,26875,46500,64080
    Living with other relatives,2480,3395,1770,20070,4115,2795,2255,14895,12105,3950,3905,2030,4380,2145,3190,10875,11020,2770,2730,25225,58345,3320,1805,4400,1945,15120,19555,3885,625,93005,14310,6940,9415,35575
    Living with non-relatives only,3875,4910,2700,19125,5650,4115,2605,22285,10850,5485,6770,3270,11540,4120,5220,26245,18500,5195,1885,49385,60955,7865,2515,7635,3335,22235,38555,6610,935,173540,30735,12625,14330,26825
Total - Household type - 100% data,51245,56255,44180,243045,87030,73420,46315,222810,208605,79750,72475,58105,87875,55205,76525,204155,195915,57015,31140,407255,450745,61745,34820,87585,45525,231395,419405,66080,14585,1160895,222425,115135,165785,391035
  One-census-family households without additional persons,29905,35440,27615,161205,56110,47295,30690,134420,147050,51200,44675,38070,52160,34510,49210,121965,120425,33980,18560,245945,283190,37185,20990,52855,28520,147590,262975,38210,8505,608930,139555,74380,103390,266990
    Couple-family households,25060,29715,23385,135920,48795,42290,27130,111410,128755,45425,38730,33885,44945,29820,43270,102785,101815,29205,15550,210295,239820,32040,17750,44465,24940,128035,227570,31750,7305,493770,119865,65040,86355,233005
      With children,9815,15285,10135,82955,21180,17115,12140,60525,81710,16920,15330,15055,19210,12590,17455,52345,47345,10980,6900,110890,164070,13470,7590,19480,10540,62475,108020,13915,2925,265945,65760,34860,45200,151345
      Without children,15240,14435,13250,52960,27610,25175,14990,50880,47040,28500,23400,18830,25730,17230,25815,50440,54465,18225,8650,99400,75745,18575,10160,24985,14395,65555,119550,17830,4385,227825,54105,30180,41160,81660
    One-parent-family households,4850,5720,4235,25285,7315,5000,3560,23015,18295,5780,5945,4180,7220,4685,5940,19180,18610,4770,3010,35650,43375,5150,3240,8385,3585,19555,35405,6460,1195,115160,19690,9340,17030,33985
  Multigenerational households,915,2185,785,14605,1995,1410,1350,8140,9115,2305,2020,880,1940,885,1650,4630,5705,1230,1050,9915,44165,1695,745,1720,880,9160,8975,1470,225,40510,7470,4190,4955,29085
  Multiple-census-family households,155,365,145,2705,380,335,265,1570,1535,520,395,195,430,165,395,875,1205,290,175,1870,8905,390,95,345,155,2150,1785,225,40,9920,1495,1010,770,5325
  One-census-family households with additional persons,1315,1900,950,9960,2285,1645,1260,7030,5405,2425,2435,1180,2590,1230,2000,5505,5990,1705,1190,10995,23215,2065,905,2390,1155,9195,10560,1850,340,41025,7185,3885,4165,15740
  Two-or-more-person non-census-family households ,1795,1955,1275,7480,2650,1865,1135,9535,4630,2275,2775,1490,4775,1785,2350,10970,7500,2265,970,22155,18655,2980,1145,3455,1560,8440,16570,2840,465,74730,11875,4795,6020,9805
  One-person households,17160,14420,13405,47095,23615,20875,11600,62110,40865,21025,20170,16295,25980,16630,20920,60205,55085,17540,9180,116370,72615,17425,10940,26825,13260,54860,118535,21490,5005,385765,54845,26875,46500,64080
